,数据类型,缺失数量,缺失比例(%),唯一值数量
CustomerID,int64,0,0.0,5630
Churn,int64,0,0.0,2
Tenure,float64,264,4.69,36
PreferredLoginDevice,str,0,0.0,3
CityTier,int64,0,0.0,3
WarehouseToHome,float64,251,4.46,34
PreferredPaymentMode,str,0,0.0,7
Gender,str,0,0.0,2
HourSpendOnApp,float64,255,4.53,6
NumberOfDeviceRegistered,int64,0,0.0,6
PreferedOrderCat,str,0,0.0,6
SatisfactionScore,int64,0,0.0,5
MaritalStatus,str,0,0.0,3
NumberOfAddress,int64,0,0.0,15
Complain,int64,0,0.0,2
OrderAmountHikeFromlastYear,float64,265,4.71,16
CouponUsed,float64,256,4.55,17
OrderCount,float64,258,4.58,16
DaySinceLastOrder,float64,307,5.45,22
CashbackAmount,float64,0,0.0,2586
